# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
ばったり偶然	偶然相遇
ひかるのドッペル	光的魔女化身
ひたぎのドッペル	黑仪的魔女化身
ひたぎの魔法少女クエスト①	黑仪的魔法少女任务①
ひたぎの魔法少女クエスト②	黑仪的魔法少女任务②
ひたぎの魔法少女クエスト③	黑仪的魔法少女任务③
ひとりで生きると決めたから	因为已经决定独自活下去
ひめなのドッペル	姬奈的魔女化身
ふたりの檻	两人的牢笼
ふたりの迷子	迷路的两人
べろべろで不思議な生き物	滑溜溜的神秘生物
ほとりんはあたしのもの	小穗香是我的
ほむらのドッペル	小焰的魔女化身
ほむらの試練	小焰的试炼
ぽかぽかな冬	暖洋洋的冬天
まさらとこころの試練	真良与心的试炼
まさらのドッペル	真良的魔女化身
またあした	明天再见
まだ知らぬ願いの意味	尚未知晓的愿望之意
まどかといろはの試練	小圆与彩羽的试炼
まどかのドッペル	小圆的魔女化身
まどかの試練	小圆的试炼
まどか先輩といろはちゃんの試練	小圆前辈与小彩羽的试炼
まなかのドッペル	胡桃爱香的魔女化身
まばゆの試練	眩的试炼
みかげのドッペル	御影的魔女化身
みくらのドッペル	美仓的魔女化身
みことのドッペル	濑奈命的魔女化身
みたまのドッペル	御魂的魔女化身
みつけたガラスの靴は	终于找到的玻璃鞋
みつねのドッペル	三轮光音的魔女化身
みふゆのドッペル	美冬的魔女化身
みんなから感謝の気持ちを	来自大家的感谢
みんなから見たやちよさんって	大家眼中的八千代小姐
みんなで七夕祭りへ	大家一起去七夕祭典
みんなで晴れの日	大家共迎晴朗之日
みんなに見せてやる！	让大家都看看！
めぐるをめぐる大活劇	围绕巡的精彩大活剧
もう戻れないから…	因为已经回不去了……
ももことみたまの試練	桃子与御魂的试炼
ももこのドッペル	桃子的魔女化身
やちよとみふゆの試練	八千代与美冬的试炼
やちよのドッペル	八千代的魔女化身
やっぱりぐーたら…	果然还是懒懒散散……
やっぱり姉妹	果然是姐妹
やります、鉄火起請！	来举行铁火起请吧！
やろうと思えばシャキッと	真想做时也能精神抖擞
ゆうなのドッペル	优奈的魔女化身
ゆきかのドッペル	七濑幸佳的魔女化身
ゆまのドッペル	千岁由麻的魔女化身
ゆめの理由	梦想的理由
よく知っているつもりでも	即使自以为十分了解
りんご味といちご味	苹果味与草莓味
れいらとせいかのドッペル	丽良与清佳的魔女化身
れいらのドッペル	丽良的魔女化身
わかちあえる仲間	能够相互分享的伙伴
わたしの大切な人	我重要的人
わたしはただお父様のために…	我只是为了父亲大人……
アオのドッペル	青的魔女化身
アシュリーのドッペル	阿什莉的魔女化身
アブナイってそういうこと	所谓危险原来是这个意思
アマリュリスのドッペル	阿玛琉莉丝的魔女化身
アリナのアトリエ	阿莉娜的工作室
アリナ・イブ	阿莉娜·夏娃
アレクサンドラのドッペル	亚历山德拉的魔女化身
アレクサンドリアの蜃気楼編	亚历山大港海市蜃楼篇
アヴェ・マリア	圣母颂
イザボーのドッペル	伊莎贝拉的魔女化身
イザボーの試練	伊莎贝拉的试炼
イチゴリゾットパーティー	草莓烩饭派对
ウィズダム＆タクティクス	智慧与战术
ウチだってできるんよ！	俺也能做到！
ウワサのさなの試練	传闻莎奈的试炼
ウワサのみことのドッペル	谣命的魔女化身
ウワサの鶴乃　団欒の記憶	传闻鹤乃：团聚的记忆
ウワサの鶴乃　孤独の記憶	传闻鹤乃：孤独的记忆
ウワサの鶴乃　自失の記憶	传闻鹤乃：自失的记忆
ウワサの鶴乃の試練	传闻鹤乃的试炼
エボニーのドッペル	埃博妮的魔女化身
エンカウント事故	意外遭遇
エンドレス・ホームワーク	无尽作业
オニババ騒動	恶婆婆风波
オルガのドッペル	奥尔加的魔女化身
カオルのドッペル	薰的魔女化身
カモフラージュは完璧	伪装完美无缺
ガンヒルトのドッペル	冈希尔德的魔女化身
クシュのドッペル	入名库什的魔女化身
クリスマスは終わらない	圣诞节不会结束
クリスマスコーデは全力で	圣诞穿搭要全力以赴
コルボーのドッペル	可鲁波的魔女化身
シィの試練	思的试炼
シュシュ→イヤリング	发圈→耳环
スカジャン欲しいじゃん	想要一件横须贺夹克嘛
スタンバイ・レディ	准备就绪
センスの塊	品味的结晶
ゼロになった関係値	归零的关系值
タルトの試練	塔鲁特的试炼
ダディの想い	爸爸的心意
チベットのラクシャーシー編	西藏罗刹女篇
チャオ、昴かずみ	再见，昴和美
チャンネル登録お願いします！	请订阅频道！
チョコレートの理由	巧克力的理由
チーズはここにあるのです	奶酪就在这里
テスト勉強は計画的に	考试复习要有计划
ディスコミュニケーション	沟通障碍
トヨのドッペル	台与的魔女化身
ハプニングは突然に	意外总是突如其来
ハロウィンと子どもたち	万圣节与孩子们
ハロウィンなので笑ってください	既然是万圣节，请笑一个
ハロウィンは労働と共に	万圣节与劳动相伴
ハロウィン感とは何か	什么才叫万圣节气氛
バタフライ効果	蝴蝶效应
バックステージの悶々	后台的郁闷
バレンタインストーリー2021	情人节故事 2021
バレンタイン大作戦	情人节大作战
パクス・ロマーナの恋人編	罗马和平的恋人篇
ビーチの話題をひとり占め	独占海滩话题
フェイトの試練	菲特的试炼
フェリシアちゃんのドッペル	小菲莉希亚的魔女化身
プレイヤーの覚悟	玩家的觉悟
ヘッドドレス→洗剤	头饰→洗涤剂
ヘルカのドッペル	赫露迦的魔女化身
ベファーナっぽいこと？	像贝法娜该做的事？
ペレネルのドッペル	佩尔内勒的魔女化身
ホームへの帰還	回归家园
ホーリーマミの試練	圣麻美的试炼
ボクが助けなきゃ…！	我必须救她……！
ボクには無理なのかな	难道我做不到吗
ボクはヒーローになりたい！	我想成为英雄！
マミのドッペル	麻美的魔女化身
マミの試練	麻美的试炼
ミヌゥのドッペル	米诺的魔女化身
ミユと燦様の馴れ初め	美由与灿大人的相识
ミユの好きなもの	美由喜欢的东西
ミユの神様	美由的神明
ミユリのドッペル	美由利的魔女化身
ミユリの夏の楽しみ方	美由利享受夏天的方式
ミラクル・イリュージョン	奇迹幻术
メイク・ア・リトル・ウィッシュ	许下小小愿望
メルのドッペル	梅露的魔女化身
ユゥのドッペル	夕的魔女化身
ヨヅルのドッペル	篠目夜鹤的魔女化身
ラビのドッペル	拉比的魔女化身
ラピヌのドッペル	拉皮努的魔女化身
リヴィアのドッペル	莉薇娅·梅黛洛斯的魔女化身
ルート選択の先に	路线选择的彼端
レナがなりたいのは…！	玲奈真正想成为的是……！
レナがアイドルに!?	玲奈成为偶像！？
レナちゃんのドッペル	玲奈的魔女化身
レナとかえでの試練	玲奈与枫的试炼
レナには無理だって…	玲奈怎么可能做得到……
レナの試練	玲奈的试炼
ログに刻まれ掘り起こされ	铭刻在日志中，又被重新发掘
ロスト＆ファウンド	失物招领
ワンチャン、ノリでしょ	有机会，跟着感觉走吧
ヴィークのワルキューレ編	维克女武神篇
七夕にふさわしい中華！	适合七夕的中华料理！
七海やちよ　傲慢の記憶	七海八千代：傲慢的记忆
七海やちよ　喪失の記憶	七海八千代：丧失的记忆
七海やちよ　戒めの記憶	七海八千代：警醒的记忆
万々歳の未来を託して	托付万万岁的未来
万年桜のウワサの試練	万年樱传闻的试炼
不完全燃焼な正義の心	未能尽兴燃烧的正义之心
不屈の漫画家・かりん	不屈的漫画家花凛
不思議なことなどない、はず	本应没有任何怪事
不思議作りの夏	创造不可思议的夏天
不意の仮説	突如其来的假说
不自然な警戒心	不自然的戒心
与えられた希望を信じて	相信被赐予的希望
主演：ヨヅル	主演：夜鹤
乙女は遊戯をたしなむべし	少女理当精通游戏
五十鈴れんの「記憶」	五十铃怜的“记忆”
交錯するほどに	越是交错
今しかできないこと	只有现在能做的事
今だからできたこと	正因为是现在才做得到
今日気付けたこと	今天才察觉的事
仕組まれた復活	被安排好的复活
他に道はなし	已无他路可选
令のドッペル	令的魔女化身
令嬢の私的な依頼	千金小姐的私人委托
仲良しゲームは波乱の予感	友好游戏预感将掀起波澜
佐倉杏子の奮闘	佐仓杏子的奋战
佐倉杏子の災難	佐仓杏子的灾难
佐倉杏子の疑問	佐仓杏子的疑问
佐和月出里の「記憶」	佐和月出里的“记忆”
佐鳥かごめの試練	佐鸟笼目的试炼
何かが違っているのです	好像有哪里不对
何度生まれ変わっても	无论转生多少次
使命を遂げし賊の娘	完成使命的盗贼之女
健やかなる オパールの首	康健的蛋白石之颈
偽りの中で	身处虚假之中
償うことさえ許されない過去	连赎罪都不被允许的过去
優しいおまじない	温柔的咒语
優しさの温もり	温柔的暖意
優しさを貴方に	将温柔赠予你
先は自在の無色透明	未来是自由自在的无色透明
先生と私	老师与我
光と影法師	光与影子
光差す雨上がり	雨后透进的光
全てはあの人のために	一切都是为了那个人
全てを失っても	即使失去一切
全力で遊ぶための水着	为了尽情玩耍的泳装
内緒の夜更かし作戦！	秘密熬夜作战！
再起と加速	重新振作与加速
冬の好奇心	冬日的好奇心
冴えない現実	黯淡的现实
出会ってしまったふたり	不该相遇却相遇的两人
初めてのマフラー作り	第一次织围巾
初めての感情	初次萌生的感情
初めての理解者	第一位理解者
初恋とさようなら	向初恋告别
初悩みの正体は	新年初次烦恼的真相
初日の射す場所へ	前往第一缕阳光照耀之处
制服の下には	校服之下
前に進むだけなんよ	只能继续前进
力を貸してくれませんか？	能请你助我一臂之力吗？
助けてくれない神様へ	致不会伸出援手的神明
勘違いと照れ隠し	误会与掩饰羞涩
十七夜のドッペル	十七夜的魔女化身
十七夜の答え	十七夜的答案
千束の試練	千束的试炼
千里のドッペル	千里的魔女化身
千里の道も一歩から	千里之行始于足下
千鶴のドッペル	千鹤的魔女化身
危ないお散歩	危险的散步
友からの追い風	朋友送来的顺风
友だちだから、気になるよ	因为是朋友，所以才在意
取り戻すべき日々	应当夺回的岁月
受け継がれるもの	被传承之物
可愛いわがまま	可爱的任性
叶わない願い	无法实现的愿望
同じ夢を見る	做着同一个梦
君と過ごすクリスマス・イブ	与你共度的平安夜
君にぴったりな場所	最适合你的地方
含みを残した記録	留下深意的记录
吸血鬼の違和感	吸血鬼的违和感
呪いの水着	被诅咒的泳装
命長ければ恥多し	人活得越久，羞事越多
和泉十七夜の「記憶」	和泉十七夜的“记忆”
哀歌は倫理を飛び越える	哀歌跨越伦理
善という答え	名为善的答案
喜びで終わる世界へ	奔向以喜悦收尾的世界
回るルーレット	转动的轮盘
回転して無限大	旋转无限大
団地のアドベンチャー	团地大冒险
団地のクライシス	团地危机
団地のフェスティバル	团地庆典
埋まらない溝	无法填平的鸿沟
塁のドッペル	垒的魔女化身
壊そうとしたもの	曾试图摧毁之物
売られた願い	被出卖的愿望
夏のきまぐれ	夏日的心血来潮
夏のリベンジ（？）マッチ！	夏日复仇（？）赛！
夏を楽しく過ごすのです	要快乐地度过夏天
夏希のドッペル	夏希的魔女化身
夜になる前に	在夜幕降临之前
夢に向かってここからめぐれ！	从这里开始，朝梦想巡回前进！
夢の中でも	即使在梦中
夢の代償	梦想的代价
夢の敵	梦想的敌人
夢の続き	梦的后续
夢は変身ヒロイン！	梦想是变身女主角！
夢も理想も失わず	不舍弃梦想与理想
夢を叶えるために	为了实现梦想
夢を見るだけの時間は終わり	只做梦的时间已经结束
夢物語は騒がしい	梦想故事吵闹不休
大きな波の中で	在巨浪之中
大切な人へマフラーを	为重要的人织一条围巾
大吉で無限大	大吉无限大
大掃除の宝物	大扫除中的宝物
天使の笑み	天使的笑容
天使の誤算	天使的误算
天使の願い	天使的愿望
天女は不敵に微笑む	天女无畏地微笑
失敗は成功のもと	失败乃成功之母
奇跡にはもう頼らない	不再依赖奇迹
女王の盤上遊戯	女王的棋盘游戏
女王様が笑顔なら	只要女王大人露出笑容
好きなことで輝きたい	想因热爱之事而闪耀
妹の機転	妹妹的机智
姉妹で夜更かし	姐妹熬夜
姉妹の約束	姐妹的约定
孤独感と向き合う	直面孤独感
学びを示す記録	展示学习成果的记录
宇宙の意志と諦念	宇宙意志与绝念
守れる力があるのなら	若拥有能够守护的力量
定められた別れ	注定的离别
実録！夜の町を駆ける謎の影	实录！夜城中飞驰的神秘身影
家族の形は変わっても	即使家人的形式改变
寝ても覚めても	无论梦中醒来
寝落ちでトラブル！	睡着后引发麻烦！
寝顔をキャッチ	捕捉睡颜
対話するほどに	越是对话
対話者：ヨヅル	对话者：夜鹤
小学生にはまだ早い	对小学生来说还太早
少しオトナの浮き輪なのです	稍显成熟的游泳圈
少女たちの反乱	少女们的反抗
尼僧院にて	在修道院中
届かぬシリウス	无法抵达的天狼星
屋上と夕日	屋顶与夕阳
